-5 -0.00965227
-4.75 -0.0168656
-4.5 -0.0284837
-4.25 -0.0464813
-4. -0.0732626
-3.75 -0.111485
-3.5 -0.163697
-3.25 -0.231779
-3. -0.316198
-2.75 -0.415188
-2.5 -0.524028
-2.25 -0.634642
-2. -0.735759
-1.75 -0.813826
-1.5 -0.854674
-1.25 -0.845792
-1. -0.778801
-0.75 -0.651611
-0.5 -0.469707
-0.25 -0.246124
0. 0.
0.25 0.753876
0.5 0.530293
0.75 0.348389
1. 0.221199
1.25 0.154208
1.5 0.145326
1.75 0.186174
2. 0.264241
2.25 0.365358
2.5 0.475972
2.75 0.584812
3. 0.683802
3.25 0.768221
3.5 0.836303
3.75 0.888515
4. 0.926737
4.25 0.953519
4.5 0.971516
4.75 0.983134
5. 0.990348
